
Episode Report #1 -------
EXP_STEP 	 episode	 #step 	 r_episode 	   fps	  T_env	T_agent	  ROUND	 g-fps	AGENT_T	 active	T_actor	   T_mt	 DCNN_EPOCH 	 weight_avg 	 delta_avg 	 L1 	 acc. 	 T_fp 	 T_bp 	 T_sgd 	T_batch	
  17682		     42 	  432.0	    90.000	  14.9	   23.3	   43.9	     42	  74.4	  17682	  0.111	   41.1	    0.5	   3170 	 2.55e-002 	 8.37e-005 	 1.862 	 72.9% 	 13.1 	 20.6 	 1.5 	 268.4 	
  18011		     43 	  329.0	   155.000	  14.9	   21.0	   45.3	     43	  75.2	  18011	  0.128	   41.9	    0.4	   3252 	 2.55e-002 	 4.07e-005 	 1.521 	 72.5% 	 13.1 	 21.3 	 1.6 	 264.2 	
  18228		     44 	  217.0	    65.000	  15.1	   24.4	   41.6	     44	  75.4	  18228	  0.106	   37.4	    0.5	   3306 	 2.55e-002 	 7.08e-005 	 1.806 	 73.3% 	 12.8 	 20.5 	 1.6 	 263.6 	
  18770		     45 	  542.0	   440.000	  15.1	   21.4	   44.6	     45	  75.6	  18770	  0.111	   40.6	    0.4	   3442 	 2.55e-002 	 6.57e-005 	 1.612 	 74.7% 	 12.9 	 20.6 	 1.5 	 263.2 	
  19138		     46 	  368.0	   160.000	  15.3	   21.6	   43.7	     46	  76.4	  19138	  0.152	   40.6	    0.5	   3534 	 2.56e-002 	 6.77e-005 	 1.999 	 73.8% 	 12.8 	 20.0 	 1.3 	 260.3 	
  19612		     47 	  474.0	   170.000	  15.0	   19.5	   46.5	     47	  75.6	  19612	  0.120	   42.8	    0.5	   3652 	 2.56e-002 	 5.14e-005 	 1.715 	 73.4% 	 12.8 	 21.3 	 1.5 	 263.8 	
  19869		     48 	  257.0	    45.000	  15.3	   24.7	   40.9	     48	  76.2	  19869	  0.109	   38.6	    0.4	   3717 	 2.56e-002 	 3.67e-005 	 1.776 	 73.7% 	 13.4 	 19.9 	 1.6 	 261.7 	
  20141		     49 	  272.0	    60.000	  15.3	   19.6	   45.0	     49	  76.5	  20141	  0.103	   42.9	    0.4	   3785 	 2.56e-002 	 5.35e-005 	 1.798 	 72.6% 	 12.5 	 20.8 	 1.4 	 260.5 	
  20441		     50 	  300.0	    20.000	  15.4	   18.9	   45.3	     50	  76.9	  20441	  0.180	   43.1	    0.5	   3860 	 2.56e-002 	 4.31e-005 	 1.598 	 73.5% 	 12.7 	 20.7 	 1.5 	 258.9 	
  21023		     51 	  582.0	   180.000	  15.1	   22.6	   43.5	     51	  75.3	  21023	  0.144	   39.5	    0.5	   4005 	 2.57e-002 	 5.49e-005 	 1.420 	 73.4% 	 13.0 	 20.8 	 1.4 	 264.0 	
  21809		     52 	  786.0	   485.000	  15.0	   21.8	   44.9	     52	  74.9	  21809	  0.153	   41.2	    0.4	   4202 	 2.57e-002 	 4.14e-005 	 1.700 	 73.4% 	 13.2 	 20.0 	 1.4 	 266.2 	
  22076		     53 	  267.0	    95.000	  15.4	   18.5	   45.8	     53	  76.7	  22076	  0.225	   41.5	    0.5	   4268 	 2.57e-002 	 6.16e-005 	 1.770 	 73.9% 	 12.5 	 20.4 	 1.4 	 259.2 	
  22367		     54 	  291.0	    60.000	  15.4	   26.3	   38.4	     54	  77.1	  22367	  0.144	   35.2	    0.5	   4341 	 2.58e-002 	 2.82e-005 	 1.831 	 72.9% 	 13.5 	 18.7 	 1.4 	 257.8 	
  22602		     55 	  235.0	    30.000	  15.1	   23.1	   43.0	     55	  75.5	  22602	  0.115	   38.8	    0.4	   4400 	 2.58e-002 	 3.41e-005 	 1.397 	 73.6% 	 13.1 	 18.8 	 1.6 	 262.2 	
  22935		     56 	  333.0	    80.000	  15.2	   23.7	   41.6	     56	  76.4	  22935	  0.117	   38.9	    0.4	   4483 	 2.58e-002 	 6.01e-005 	 1.558 	 72.5% 	 13.3 	 20.3 	 1.7 	 260.4 	
  23703		     57 	  768.0	   415.000	  15.3	   20.4	   44.7	     57	  76.6	  23703	  0.154	   41.7	    0.4	   4675 	 2.58e-002 	 7.14e-005 	 1.596 	 71.6% 	 12.8 	 20.0 	 1.5 	 259.9 	
  24451		     58 	  748.0	   210.000	  15.3	   21.4	   43.5	     58	  76.7	  24451	  0.172	   40.6	    0.4	   4862 	 2.59e-002 	 5.64e-005 	 1.590 	 70.8% 	 13.0 	 19.4 	 1.5 	 259.5 	
