
Episode Report #1 -------
EXP_STEP 	 episode	 #step 	 r_episode 	   fps	  T_env	T_agent	  ROUND	 g-fps	AGENT_T	 active	T_actor	   T_mt	 DCNN_EPOCH 	 weight_avg 	 delta_avg 	 L1 	 acc. 	 T_fp 	 T_bp 	 T_sgd 	T_batch	
1119150		   2555 	  317.0	   255.000	  16.3	   16.0	   45.0	   2555	  81.4	1119150	  0.877	   41.0	    0.4	 278537 	 1.04e-001 	 1.10e-004 	 4.214 	 62.7% 	 12.7 	 5.4 	 2.1 	 242.8 	
1119525		   2556 	  375.0	   295.000	  16.3	   18.1	   43.0	   2556	  81.5	1119525	  0.883	   39.4	    0.4	 278631 	 1.04e-001 	 1.21e-004 	 3.616 	 62.6% 	 12.7 	 5.4 	 1.9 	 242.9 	
1120011		   2557 	  486.0	   245.000	  16.5	   15.6	   44.3	   2557	  83.1	1120011	  0.883	   40.2	    0.4	 278752 	 1.04e-001 	 9.38e-005 	 3.972 	 61.9% 	 12.3 	 5.4 	 2.0 	 239.6 	
1120737		   2558 	  726.0	   660.000	  16.4	   15.6	   45.3	   2558	  82.1	1120737	  0.898	   41.2	    0.4	 278934 	 1.04e-001 	 1.11e-004 	 3.836 	 63.7% 	 12.5 	 5.3 	 2.0 	 242.8 	
1121333		   2559 	  596.0	   475.000	  16.7	   16.0	   43.5	   2559	  83.5	1121333	  0.881	   39.0	    0.4	 279083 	 1.05e-001 	 1.07e-004 	 3.595 	 62.6% 	 12.2 	 5.3 	 1.8 	 238.0 	
1121872		   2560 	  539.0	   430.000	  16.6	   15.3	   44.7	   2560	  82.8	1121872	  0.878	   40.7	    0.4	 279217 	 1.05e-001 	 1.02e-004 	 3.756 	 61.7% 	 12.4 	 5.3 	 2.2 	 240.5 	
1122419		   2561 	  547.0	   375.000	  16.6	   17.3	   43.0	   2561	  83.0	1122419	  0.905	   39.5	    0.4	 279354 	 1.05e-001 	 9.74e-005 	 3.842 	 62.7% 	 12.3 	 5.2 	 1.9 	 240.0 	
1122901		   2562 	  482.0	   330.000	  16.7	   15.8	   44.1	   2562	  83.5	1122901	  0.886	   39.5	    0.4	 279475 	 1.05e-001 	 7.93e-005 	 3.912 	 62.4% 	 12.2 	 5.3 	 1.8 	 238.7 	
1123606		   2563 	  705.0	   520.000	  16.5	   16.7	   43.7	   2563	  82.5	1123606	  0.892	   40.4	    0.4	 279651 	 1.05e-001 	 1.00e-004 	 3.930 	 62.9% 	 12.2 	 5.3 	 2.0 	 240.7 	
1124226		   2564 	  620.0	   720.000	  16.5	   15.6	   45.2	   2564	  82.1	1124226	  0.903	   41.5	    0.4	 279806 	 1.05e-001 	 1.08e-004 	 4.023 	 62.7% 	 12.6 	 5.3 	 1.8 	 242.8 	
1124672		   2565 	  446.0	   290.000	  16.5	   14.7	   45.3	   2565	  83.1	1124672	  0.872	   41.0	    0.5	 279917 	 1.05e-001 	 9.62e-005 	 3.857 	 63.1% 	 12.3 	 5.3 	 1.9 	 240.0 	
1125167		   2566 	  495.0	   340.000	  16.2	   16.7	   45.2	   2566	  80.7	1125167	  0.907	   40.3	    0.5	 280041 	 1.05e-001 	 1.18e-004 	 4.007 	 63.1% 	 12.4 	 5.4 	 2.1 	 246.8 	
1125716		   2567 	  549.0	   695.000	  16.4	   16.9	   44.0	   2567	  82.1	1125716	  0.934	   40.3	    0.4	 280178 	 1.05e-001 	 7.22e-005 	 3.738 	 63.7% 	 12.2 	 5.4 	 1.9 	 242.4 	
1126340		   2568 	  624.0	   380.000	  16.6	   14.7	   45.4	   2568	  83.1	1126340	  0.885	   41.6	    0.4	 280334 	 1.05e-001 	 1.02e-004 	 3.999 	 62.1% 	 12.4 	 5.3 	 1.9 	 239.9 	
1127071		   2569 	  731.0	   555.000	  16.6	   14.6	   45.4	   2569	  83.1	1127071	  0.910	   41.2	    0.4	 280517 	 1.05e-001 	 9.31e-005 	 3.838 	 62.3% 	 12.2 	 5.3 	 2.1 	 239.7 	
1127482		   2570 	  411.0	   315.000	  16.8	   16.7	   42.9	   2570	  83.8	1127482	  0.886	   39.3	    0.4	 280620 	 1.05e-001 	 1.07e-004 	 3.848 	 64.1% 	 12.1 	 5.3 	 2.0 	 236.8 	
1127936		   2571 	  454.0	   310.000	  16.5	   15.6	   44.7	   2571	  82.8	1127936	  0.868	   41.0	    0.4	 280733 	 1.05e-001 	 1.18e-004 	 3.607 	 63.2% 	 12.1 	 5.3 	 2.0 	 240.4 	
1128290		   2572 	  354.0	   225.000	  16.4	   15.1	   45.9	   2572	  81.9	1128290	  0.884	   41.9	    0.5	 280822 	 1.05e-001 	 1.16e-004 	 3.928 	 60.6% 	 12.0 	 5.3 	 1.6 	 242.4 	
1128786		   2573 	  496.0	   415.000	  16.4	   17.0	   44.0	   2573	  81.8	1128786	  0.877	   39.7	    0.4	 280946 	 1.05e-001 	 1.18e-004 	 4.024 	 63.8% 	 12.6 	 5.3 	 1.8 	 243.2 	
1129291		   2574 	  505.0	   260.000	  16.6	   14.1	   45.9	   2574	  83.1	1129291	  0.911	   41.3	    0.4	 281072 	 1.05e-001 	 9.06e-005 	 3.631 	 63.8% 	 12.4 	 5.3 	 2.0 	 239.5 	
1129565		   2575 	  274.0	   225.000	  16.5	   17.5	   43.2	   2575	  82.2	1129565	  0.920	   39.2	    0.4	 281141 	 1.05e-001 	 9.62e-005 	 3.683 	 65.0% 	 12.6 	 5.3 	 1.9 	 240.7 	
1130100		   2576 	  535.0	   430.000	  16.5	   16.4	   43.9	   2576	  82.4	1130100	  0.893	   39.5	    0.4	 281274 	 1.05e-001 	 1.05e-004 	 3.651 	 63.2% 	 12.2 	 5.3 	 1.9 	 241.7 	
1130559		   2577 	  459.0	   260.000	  16.5	   16.8	   43.9	   2577	  82.3	1130559	  0.900	   40.2	    0.4	 281389 	 1.05e-001 	 9.76e-005 	 3.823 	 63.1% 	 12.6 	 5.3 	 1.8 	 241.9 	
1131243		   2578 	  684.0	   470.000	  16.6	   16.0	   44.0	   2578	  83.2	1131243	  0.895	   39.3	    0.4	 281560 	 1.05e-001 	 1.11e-004 	 3.774 	 62.6% 	 12.2 	 5.2 	 1.9 	 239.2 	
1131723		   2579 	  480.0	   345.000	  16.7	   16.0	   43.8	   2579	  83.5	1131723	  0.871	   39.1	    0.4	 281680 	 1.05e-001 	 1.02e-004 	 3.952 	 64.3% 	 12.2 	 5.2 	 1.8 	 238.1 	
1132168		   2580 	  445.0	   290.000	  16.7	   14.2	   45.5	   2580	  83.8	1132168	  0.885	   41.4	    0.4	 281791 	 1.05e-001 	 9.08e-005 	 3.747 	 62.6% 	 12.2 	 5.3 	 1.8 	 237.7 	
1132465		   2581 	  297.0	   200.000	  16.9	   18.2	   41.2	   2581	  84.0	1132465	  0.906	   36.9	    0.5	 281866 	 1.05e-001 	 1.20e-004 	 3.828 	 63.7% 	 12.2 	 5.2 	 1.8 	 236.7 	
1132931		   2582 	  466.0	   375.000	  16.5	   15.6	   44.5	   2582	  82.7	1132931	  0.891	   40.6	    0.4	 281982 	 1.05e-001 	 9.06e-005 	 3.821 	 63.2% 	 12.4 	 5.3 	 1.9 	 239.9 	
1133522		   2583 	  591.0	   515.000	  16.2	   17.0	   44.9	   2583	  80.7	1133522	  0.905	   40.5	    0.4	 282130 	 1.05e-001 	 1.19e-004 	 3.686 	 61.8% 	 12.5 	 5.3 	 2.0 	 246.2 	
1134056		   2584 	  534.0	   455.000	  16.4	   15.8	   44.8	   2584	  82.3	1134056	  0.916	   40.8	    0.4	 282263 	 1.05e-001 	 8.99e-005 	 3.805 	 62.6% 	 12.5 	 5.2 	 2.1 	 242.0 	
1134438		   2585 	  382.0	   260.000	  16.3	   17.2	   44.1	   2585	  81.5	1134438	  0.877	   38.7	    0.4	 282359 	 1.05e-001 	 1.12e-004 	 3.753 	 63.3% 	 12.3 	 5.5 	 2.0 	 244.0 	
1134773		   2586 	  335.0	   275.000	  16.7	   16.1	   43.6	   2586	  83.5	1134773	  0.887	   40.2	    0.4	 282443 	 1.05e-001 	 8.75e-005 	 3.857 	 62.2% 	 12.3 	 5.4 	 2.0 	 236.8 	
1135046		   2587 	  273.0	   225.000	  16.6	   14.9	   45.0	   2587	  83.0	1135046	  0.919	   39.3	    0.4	 282511 	 1.05e-001 	 1.06e-004 	 4.105 	 62.2% 	 12.4 	 5.2 	 2.0 	 238.1 	
1135645		   2588 	  599.0	   385.000	  16.6	   15.7	   44.6	   2588	  82.8	1135645	  0.905	   40.6	    0.4	 282661 	 1.05e-001 	 1.20e-004 	 3.692 	 62.0% 	 12.3 	 5.4 	 1.8 	 240.5 	
1136230		   2589 	  585.0	   480.000	  16.6	   15.1	   44.9	   2589	  83.0	1136230	  0.889	   41.1	    0.4	 282807 	 1.05e-001 	 1.18e-004 	 3.810 	 63.1% 	 12.2 	 5.4 	 2.1 	 239.9 	
1136680		   2590 	  450.0	   300.000	  16.3	   16.5	   44.2	   2590	  81.9	1136680	  0.911	   40.2	    0.4	 282919 	 1.05e-001 	 9.20e-005 	 3.760 	 64.3% 	 12.3 	 5.5 	 1.8 	 242.6 	
1137011		   2591 	  331.0	   225.000	  16.5	   16.2	   44.5	   2591	  82.3	1137011	  0.906	   40.2	    0.5	 283002 	 1.05e-001 	 1.14e-004 	 3.686 	 61.0% 	 12.4 	 5.3 	 1.8 	 241.5 	
1137415		   2592 	  404.0	   240.000	  15.9	   19.0	   43.7	   2592	  79.6	1137415	  0.894	   38.4	    0.5	 283103 	 1.05e-001 	 1.26e-004 	 3.919 	 61.4% 	 12.4 	 5.3 	 2.2 	 249.3 	
1138047		   2593 	  632.0	   365.000	  16.6	   17.3	   43.0	   2593	  82.8	1138047	  0.894	   39.8	    0.4	 283261 	 1.05e-001 	 1.04e-004 	 3.775 	 61.6% 	 12.4 	 5.3 	 1.9 	 240.4 	
1138496		   2594 	  449.0	   340.000	  16.4	   14.9	   45.8	   2594	  82.3	1138496	  0.895	   42.3	    0.5	 283373 	 1.05e-001 	 1.11e-004 	 3.884 	 63.1% 	 12.5 	 5.3 	 1.9 	 242.7 	
1138941		   2595 	  445.0	   290.000	  16.7	   16.5	   43.4	   2595	  83.4	1138941	  0.894	   39.2	    0.4	 283485 	 1.05e-001 	 8.21e-005 	 3.901 	 63.9% 	 12.3 	 5.2 	 1.8 	 238.7 	
1139178		   2596 	  237.0	    90.000	  16.8	   15.3	   43.7	   2596	  83.8	1139178	  0.903	   40.4	    0.4	 283544 	 1.05e-001 	 9.81e-005 	 3.752 	 62.6% 	 12.1 	 5.2 	 1.9 	 235.9 	
1139719		   2597 	  541.0	   395.000	  16.6	   14.6	   45.4	   2597	  83.2	1139719	  0.885	   41.6	    0.4	 283679 	 1.05e-001 	 1.15e-004 	 3.966 	 62.7% 	 12.4 	 5.2 	 1.7 	 239.2 	
1140352		   2598 	  633.0	   410.000	  16.5	   14.5	   46.1	   2598	  82.5	1140352	  0.899	   41.6	    0.4	 283837 	 1.05e-001 	 1.00e-004 	 3.945 	 62.6% 	 12.4 	 5.2 	 2.0 	 241.3 	
1140838		   2599 	  486.0	   375.000	  16.5	   17.2	   43.7	   2599	  82.1	1140838	  0.924	   40.4	    0.4	 283959 	 1.05e-001 	 9.45e-005 	 3.779 	 62.8% 	 12.4 	 5.3 	 1.9 	 242.3 	
1141334		   2600 	  496.0	   535.000	  16.4	   16.6	   44.4	   2600	  81.8	1141334	  0.909	   40.1	    0.4	 284083 	 1.05e-001 	 1.03e-004 	 3.638 	 63.6% 	 12.2 	 5.3 	 1.8 	 242.7 	
1141807		   2601 	  473.0	   435.000	  16.5	   15.4	   44.8	   2601	  82.9	1141807	  0.888	   40.9	    0.4	 284201 	 1.05e-001 	 1.06e-004 	 4.044 	 62.7% 	 12.5 	 5.3 	 1.8 	 240.6 	
1142478		   2602 	  671.0	   555.000	  16.5	   15.4	   45.2	   2602	  82.4	1142478	  0.917	   41.3	    0.4	 284369 	 1.05e-001 	 8.41e-005 	 3.714 	 62.4% 	 12.5 	 5.2 	 1.9 	 241.3 	
1142757		   2603 	  279.0	   225.000	  15.8	   15.0	   47.4	   2603	  79.7	1142757	  0.946	   43.4	    0.5	 284439 	 1.05e-001 	 1.02e-004 	 4.036 	 61.4% 	 12.4 	 5.4 	 1.9 	 248.8 	
1143044		   2604 	  287.0	    80.000	  16.2	   15.6	   45.5	   2604	  81.1	1143044	  0.906	   40.5	    0.4	 284510 	 1.05e-001 	 1.00e-004 	 3.824 	 64.4% 	 12.2 	 5.2 	 1.9 	 244.2 	
1143679		   2605 	  635.0	   485.000	  16.6	   14.4	   45.9	   2605	  82.9	1143679	  0.888	   41.2	    0.4	 284669 	 1.06e-001 	 9.70e-005 	 3.746 	 63.1% 	 12.4 	 5.3 	 1.8 	 240.3 	
1144063		   2606 	  384.0	   230.000	  16.7	   14.7	   44.9	   2606	  83.8	1144063	  0.878	   40.1	    0.4	 284765 	 1.06e-001 	 8.58e-005 	 3.981 	 61.7% 	 12.1 	 5.3 	 1.8 	 237.3 	
1144603		   2607 	  540.0	   355.000	  16.7	   14.6	   45.0	   2607	  83.8	1144603	  0.876	   40.8	    0.4	 284900 	 1.06e-001 	 8.86e-005 	 3.720 	 64.0% 	 12.3 	 5.3 	 1.9 	 238.0 	
1145066		   2608 	  463.0	   350.000	  16.2	   16.4	   45.5	   2608	  80.7	1145066	  0.883	   40.9	    0.4	 285016 	 1.06e-001 	 9.97e-005 	 3.870 	 62.3% 	 12.7 	 5.3 	 2.0 	 245.6 	
1145691		   2609 	  625.0	   610.000	  16.8	   14.8	   44.7	   2609	  83.9	1145691	  0.886	   41.0	    0.4	 285172 	 1.06e-001 	 1.07e-004 	 3.930 	 62.3% 	 12.4 	 5.3 	 1.8 	 237.4 	
1146200		   2610 	  509.0	   345.000	  16.5	   15.7	   44.8	   2610	  82.4	1146200	  0.900	   40.4	    0.4	 285299 	 1.06e-001 	 9.63e-005 	 3.584 	 63.7% 	 12.7 	 5.3 	 2.0 	 241.6 	
1146663		   2611 	  463.0	   315.000	  16.4	   16.7	   44.3	   2611	  82.0	1146663	  0.894	   40.1	    0.5	 285415 	 1.06e-001 	 1.18e-004 	 3.846 	 62.1% 	 12.4 	 5.2 	 2.1 	 243.2 	
1146961		   2612 	  298.0	   235.000	  16.8	   16.7	   42.7	   2612	  83.9	1146961	  0.899	   39.1	    0.4	 285490 	 1.06e-001 	 8.90e-005 	 3.884 	 62.7% 	 12.6 	 5.2 	 1.9 	 235.8 	
1147619		   2613 	  658.0	   525.000	  16.8	   15.0	   44.4	   2613	  83.9	1147619	  0.903	   40.4	    0.4	 285654 	 1.06e-001 	 9.40e-005 	 3.968 	 63.5% 	 12.1 	 5.2 	 1.9 	 237.0 	
1148018		   2614 	  399.0	   210.000	  16.9	   15.0	   44.4	   2614	  84.0	1148018	  0.885	   41.4	    0.4	 285754 	 1.06e-001 	 9.83e-005 	 3.889 	 62.6% 	 12.3 	 5.3 	 1.8 	 236.5 	
1148377		   2615 	  359.0	   140.000	  16.6	   15.9	   44.3	   2615	  82.9	1148377	  0.936	   40.2	    0.4	 285844 	 1.06e-001 	 1.15e-004 	 3.805 	 61.9% 	 12.4 	 5.2 	 1.9 	 238.8 	
1148722		   2616 	  345.0	   220.000	  16.2	   16.5	   45.0	   2616	  81.0	1148722	  0.919	   41.0	    0.4	 285930 	 1.06e-001 	 9.00e-005 	 3.770 	 61.3% 	 12.4 	 5.5 	 1.8 	 245.7 	
1149254		   2617 	  532.0	   315.000	  16.7	   15.5	   44.1	   2617	  83.7	1149254	  0.914	   40.3	    0.4	 286063 	 1.06e-001 	 1.16e-004 	 4.039 	 63.6% 	 12.5 	 5.4 	 1.9 	 237.5 	
1149682		   2618 	  428.0	   345.000	  16.5	   15.6	   45.0	   2618	  82.3	1149682	  0.897	   41.4	    0.4	 286170 	 1.06e-001 	 1.06e-004 	 3.754 	 62.3% 	 12.3 	 5.5 	 1.8 	 241.8 	
1149996		   2619 	  314.0	   200.000	  16.7	   17.2	   42.4	   2619	  83.7	1149996	  0.908	   38.9	    0.5	 286248 	 1.06e-001 	 1.08e-004 	 3.820 	 61.7% 	 12.2 	 5.3 	 2.0 	 238.4 	
1150641		   2620 	  645.0	   670.000	  16.5	   16.1	   44.4	   2620	  82.5	1150641	  0.876	   40.2	    0.4	 286410 	 1.06e-001 	 1.08e-004 	 3.660 	 62.8% 	 12.3 	 5.4 	 1.9 	 241.6 	
1151319		   2621 	  678.0	   480.000	  16.5	   15.2	   45.1	   2621	  82.6	1151319	  0.907	   41.0	    0.4	 286579 	 1.06e-001 	 9.57e-005 	 4.018 	 62.5% 	 12.5 	 5.4 	 1.7 	 240.6 	
1151531		   2622 	  212.0	   105.000	  16.7	   14.6	   45.5	   2622	  83.2	1151531	  0.882	   41.0	    0.5	 286632 	 1.06e-001 	 1.12e-004 	 3.940 	 59.4% 	 12.1 	 5.3 	 1.9 	 239.6 	
1152045		   2623 	  514.0	   360.000	  16.4	   15.3	   45.7	   2623	  81.7	1152045	  0.897	   41.7	    0.4	 286761 	 1.06e-001 	 1.06e-004 	 3.681 	 63.2% 	 12.3 	 5.4 	 1.8 	 242.9 	
1152413		   2624 	  368.0	   230.000	  16.1	   16.7	   44.4	   2624	  80.9	1152413	  0.902	   40.9	    0.4	 286853 	 1.06e-001 	 8.87e-005 	 3.654 	 63.2% 	 12.6 	 5.5 	 1.7 	 245.6 	
1152868		   2625 	  455.0	   355.000	  16.3	   15.6	   45.2	   2625	  81.6	1152868	  0.905	   41.3	    0.4	 286966 	 1.06e-001 	 1.10e-004 	 3.859 	 62.6% 	 12.6 	 5.4 	 1.9 	 243.8 	
1153333		   2626 	  465.0	   370.000	  16.1	   14.9	   47.3	   2626	  80.4	1153333	  0.899	   42.5	    0.5	 287083 	 1.06e-001 	 1.01e-004 	 4.047 	 61.4% 	 12.5 	 5.4 	 2.1 	 247.5 	
1153779		   2627 	  446.0	   305.000	  16.5	   15.3	   45.0	   2627	  82.6	1153779	  0.899	   40.9	    0.4	 287194 	 1.06e-001 	 1.17e-004 	 3.897 	 62.5% 	 12.2 	 5.5 	 1.9 	 240.2 	
1154158		   2628 	  379.0	   315.000	  16.1	   16.4	   45.9	   2628	  80.2	1154158	  0.900	   42.0	    0.4	 287289 	 1.06e-001 	 1.01e-004 	 3.832 	 63.3% 	 12.5 	 5.3 	 1.9 	 247.8 	
1154987		   2629 	  829.0	   575.000	  16.3	   15.0	   46.0	   2629	  81.7	1154987	  0.917	   41.4	    0.4	 287496 	 1.06e-001 	 1.06e-004 	 3.914 	 62.6% 	 12.2 	 5.3 	 1.8 	 243.8 	
1155475		   2630 	  488.0	   275.000	  16.2	   15.8	   45.8	   2630	  81.0	1155475	  0.898	   41.4	    0.4	 287618 	 1.06e-001 	 9.69e-005 	 3.729 	 62.1% 	 12.3 	 5.3 	 2.1 	 245.4 	
1155931		   2631 	  456.0	   340.000	  16.3	   15.1	   46.1	   2631	  81.6	1155931	  0.912	   42.7	    0.5	 287732 	 1.06e-001 	 1.06e-004 	 3.953 	 62.8% 	 12.3 	 5.3 	 2.0 	 244.2 	
1156448		   2632 	  517.0	   390.000	  16.7	   15.5	   44.3	   2632	  83.5	1156448	  0.905	   41.4	    0.5	 287861 	 1.06e-001 	 1.27e-004 	 3.831 	 64.1% 	 12.5 	 5.3 	 1.7 	 238.6 	
1156774		   2633 	  326.0	   230.000	  16.4	   16.9	   44.1	   2633	  81.8	1156774	  0.933	   41.5	    0.5	 287943 	 1.06e-001 	 1.02e-004 	 3.595 	 62.5% 	 12.6 	 5.3 	 2.0 	 242.6 	
1157337		   2634 	  563.0	   450.000	  16.3	   16.8	   44.3	   2634	  81.7	1157337	  0.908	   40.5	    0.4	 288084 	 1.06e-001 	 1.07e-004 	 3.860 	 62.0% 	 12.4 	 5.3 	 2.3 	 244.1 	
1157582		   2635 	  245.0	   135.000	  15.9	   18.1	   44.2	   2635	  79.3	1157582	  0.873	   40.0	    0.5	 288145 	 1.06e-001 	 9.51e-005 	 3.881 	 61.6% 	 12.6 	 5.3 	 1.7 	 247.6 	
1158102		   2636 	  520.0	   430.000	  16.6	   14.8	   45.6	   2636	  82.8	1158102	  0.902	   41.3	    0.5	 288275 	 1.06e-001 	 8.56e-005 	 3.902 	 61.6% 	 12.0 	 5.3 	 1.8 	 240.7 	
1158672		   2637 	  570.0	   450.000	  16.6	   14.9	   45.0	   2637	  83.3	1158672	  0.907	   41.1	    0.4	 288417 	 1.06e-001 	 1.12e-004 	 4.079 	 62.8% 	 12.3 	 5.3 	 2.0 	 239.6 	
1159267		   2638 	  595.0	   525.000	  16.8	   16.2	   43.1	   2638	  84.2	1159267	  0.897	   39.6	    0.4	 288566 	 1.06e-001 	 9.78e-005 	 3.743 	 61.0% 	 12.3 	 5.3 	 1.9 	 236.7 	
1159725		   2639 	  458.0	   370.000	  16.6	   14.9	   45.3	   2639	  82.9	1159725	  0.928	   41.5	    0.4	 288681 	 1.06e-001 	 8.43e-005 	 3.804 	 63.3% 	 12.0 	 5.4 	 1.8 	 240.5 	
1160130		   2640 	  405.0	   355.000	  16.5	   15.7	   44.5	   2640	  82.3	1160130	  0.899	   40.2	    0.4	 288782 	 1.06e-001 	 1.20e-004 	 3.926 	 60.5% 	 12.4 	 5.3 	 2.0 	 240.0 	
1160584		   2641 	  454.0	   415.000	  16.4	   15.1	   45.4	   2641	  82.3	1160584	  0.912	   41.7	    0.4	 288895 	 1.06e-001 	 1.16e-004 	 3.941 	 62.0% 	 12.1 	 5.4 	 2.0 	 241.9 	
1161223		   2642 	  639.0	   490.000	  16.5	   15.6	   44.8	   2642	  82.7	1161223	  0.908	   41.1	    0.5	 289055 	 1.06e-001 	 8.14e-005 	 3.714 	 62.9% 	 12.3 	 5.3 	 1.9 	 240.9 	
1162159		   2643 	  936.0	   570.000	  16.6	   15.9	   44.4	   2643	  82.9	1162159	  0.894	   40.5	    0.4	 289289 	 1.06e-001 	 1.04e-004 	 3.764 	 63.0% 	 12.4 	 5.3 	 1.8 	 240.4 	
1162575		   2644 	  416.0	   280.000	  16.4	   16.3	   44.6	   2644	  81.9	1162575	  0.906	   40.0	    0.4	 289393 	 1.06e-001 	 9.78e-005 	 3.797 	 63.1% 	 12.5 	 5.3 	 1.8 	 242.4 	
1163146		   2645 	  571.0	   290.000	  16.6	   16.4	   44.1	   2645	  82.7	1163146	  0.891	   40.4	    0.4	 289536 	 1.06e-001 	 1.01e-004 	 3.841 	 63.4% 	 12.3 	 5.3 	 1.9 	 240.6 	
1163695		   2646 	  549.0	   405.000	  16.4	   15.9	   44.8	   2646	  82.2	1163695	  0.887	   41.2	    0.4	 289673 	 1.06e-001 	 1.01e-004 	 3.754 	 62.3% 	 12.6 	 5.3 	 1.8 	 242.2 	
1164122		   2647 	  427.0	   260.000	  16.4	   16.0	   45.0	   2647	  81.8	1164122	  0.874	   41.3	    0.4	 289780 	 1.06e-001 	 9.80e-005 	 4.032 	 63.2% 	 12.6 	 5.3 	 2.0 	 242.7 	
1164488		   2648 	  366.0	   250.000	  16.4	   15.8	   44.9	   2648	  82.2	1164488	  0.874	   40.9	    0.5	 289871 	 1.06e-001 	 1.14e-004 	 3.863 	 63.1% 	 12.3 	 5.4 	 2.0 	 242.3 	
1165034		   2649 	  546.0	   525.000	  16.7	   15.8	   44.5	   2649	  83.0	1165034	  0.886	   40.9	    0.4	 290008 	 1.06e-001 	 1.18e-004 	 3.728 	 61.7% 	 12.5 	 5.3 	 1.8 	 239.9 	
1165519		   2650 	  485.0	   340.000	  16.8	   14.8	   44.5	   2650	  84.2	1165519	  0.903	   41.4	    0.4	 290129 	 1.07e-001 	 8.55e-005 	 3.818 	 63.0% 	 12.4 	 5.4 	 1.9 	 236.7 	
1166126		   2651 	  607.0	   490.000	  16.2	   16.0	   45.7	   2651	  81.0	1166126	  0.900	   41.1	    0.5	 290281 	 1.07e-001 	 1.00e-004 	 3.785 	 62.0% 	 12.5 	 5.3 	 1.9 	 245.4 	
1166958		   2652 	  832.0	   580.000	  16.6	   15.5	   44.9	   2652	  82.7	1166958	  0.900	   41.0	    0.5	 290489 	 1.07e-001 	 1.09e-004 	 3.845 	 63.4% 	 12.3 	 5.3 	 1.9 	 240.6 	
1167528		   2653 	  570.0	   305.000	  16.5	   14.5	   45.7	   2653	  82.9	1167528	  0.912	   41.3	    0.4	 290631 	 1.07e-001 	 9.28e-005 	 3.828 	 61.6% 	 12.4 	 5.2 	 1.8 	 240.8 	
1167992		   2654 	  464.0	   250.000	  16.3	   16.7	   44.7	   2654	  81.4	1167992	  0.914	   40.6	    0.5	 290747 	 1.07e-001 	 1.04e-004 	 3.744 	 61.4% 	 12.5 	 5.2 	 1.8 	 245.0 	
1168625		   2655 	  633.0	   455.000	  16.6	   16.5	   43.8	   2655	  82.8	1168625	  0.880	   39.7	    0.4	 290906 	 1.07e-001 	 9.40e-005 	 3.834 	 64.1% 	 12.4 	 5.2 	 2.0 	 240.9 	
1169123		   2656 	  498.0	   410.000	  16.5	   16.4	   43.6	   2656	  82.7	1169123	  0.882	   39.9	    0.5	 291030 	 1.07e-001 	 8.56e-005 	 4.028 	 62.7% 	 12.3 	 5.3 	 1.8 	 239.7 	
1169397		   2657 	  274.0	   110.000	  16.5	   16.5	   44.3	   2657	  82.2	1169397	  0.865	   40.5	    0.4	 291099 	 1.07e-001 	 1.04e-004 	 4.030 	 62.0% 	 12.5 	 5.2 	 2.1 	 240.7 	
1169824		   2658 	  427.0	   375.000	  16.7	   15.5	   43.9	   2658	  83.7	1169824	  0.890	   40.1	    0.4	 291205 	 1.07e-001 	 1.09e-004 	 3.951 	 62.1% 	 12.3 	 5.2 	 1.9 	 237.6 	
1170255		   2659 	  431.0	   355.000	  16.5	   16.1	   44.5	   2659	  82.5	1170255	  0.905	   40.8	    0.5	 291313 	 1.07e-001 	 1.25e-004 	 3.870 	 62.6% 	 12.1 	 5.2 	 2.0 	 241.1 	
1170495		   2660 	  240.0	   125.000	  16.3	   17.3	   43.8	   2660	  81.7	1170495	  0.887	   39.9	    0.4	 291373 	 1.07e-001 	 9.53e-005 	 3.669 	 62.3% 	 12.6 	 5.2 	 2.0 	 242.0 	
1171115		   2661 	  620.0	   510.000	  16.6	   15.1	   45.2	   2661	  83.0	1171115	  0.884	   41.3	    0.4	 291528 	 1.07e-001 	 1.15e-004 	 3.939 	 62.7% 	 12.6 	 5.2 	 2.0 	 240.4 	
1171748		   2662 	  633.0	   415.000	  16.6	   15.3	   44.7	   2662	  83.2	1171748	  0.916	   40.9	    0.4	 291686 	 1.07e-001 	 1.05e-004 	 3.858 	 63.2% 	 12.4 	 5.3 	 1.8 	 239.4 	
1172317		   2663 	  569.0	   395.000	  16.8	   14.9	   44.7	   2663	  83.9	1172317	  0.903	   41.4	    0.5	 291829 	 1.07e-001 	 1.14e-004 	 3.725 	 62.2% 	 12.1 	 5.3 	 1.9 	 237.9 	
1172817		   2664 	  500.0	   360.000	  16.2	   16.6	   44.9	   2664	  80.7	1172817	  0.860	   41.6	    0.4	 291954 	 1.07e-001 	 9.51e-005 	 4.012 	 62.3% 	 12.6 	 5.2 	 2.0 	 245.5 	
1173271		   2665 	  454.0	   440.000	  16.1	   15.3	   46.2	   2665	  80.9	1173271	  0.916	   42.0	    0.4	 292067 	 1.07e-001 	 9.49e-005 	 3.650 	 61.4% 	 12.5 	 5.3 	 2.3 	 245.8 	
1173516		   2666 	  245.0	   115.000	  16.1	   18.7	   43.4	   2666	  80.3	1173516	  0.918	   39.7	    0.5	 292128 	 1.07e-001 	 1.13e-004 	 3.854 	 62.6% 	 12.6 	 5.1 	 2.0 	 247.9 	
